0#0,Pos.,Player,Date of birth (age),Caps,Goals,Club,club_link,squad,player_link
18,2DF,Bartosz Salamon,(1991-05-01)1 May 1991 (aged 25),8,0,Cagliari,https://en.wikipedia.org/wiki/Cagliari_Calcio,Poland,https://en.wikipedia.org/wiki/Bartosz_Salamon
19,3MF,Piotr Zieliński,(1994-05-20)20 May 1994 (aged 22),15,3,Empoli,https://en.wikipedia.org/wiki/Empoli_F.C.,Poland,https://en.wikipedia.org/wiki/Piotr_Zieli%C5%84ski
20,2DF,Łukasz Piszczek,(1985-06-03)3 June 1985 (aged 31),46,2,Borussia Dortmund,https://en.wikipedia.org/wiki/Borussia_Dortmund,Poland,https://en.wikipedia.org/wiki/%C5%81ukasz_Piszczek
21,3MF,Bartosz Kapustka,(1996-12-23)23 December 1996 (aged 19),7,2,Cracovia,https://en.wikipedia.org/wiki/KS_Cracovia_(football),Poland,https://en.wikipedia.org/wiki/Bartosz_Kapustka
22,1GK,Łukasz Fabiański,(1985-04-18)18 April 1985 (aged 31),30,0,Swansea City,https://en.wikipedia.org/wiki/Swansea_City_A.F.C.,Poland,https://en.wikipedia.org/wiki/%C5%81ukasz_Fabia%C5%84ski
23,3MF,Filip Starzyński,(1991-05-27)27 May 1991 (aged 25),3,1,Zagłębie Lubin,https://en.wikipedia.org/wiki/Zag%C5%82%C4%99bie_Lubin,Poland,https://en.wikipedia.org/wiki/Filip_Starzy%C5%84ski
1,1GK,Michael McGovern,(1984-07-12)12 July 1984 (aged 31),11,0,Hamilton Academical,https://en.wikipedia.org/wiki/Hamilton_Academical_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Michael_McGovern
2,2DF,Conor McLaughlin,(1991-07-26)26 July 1991 (aged 24),18,0,Fleetwood Town,https://en.wikipedia.org/wiki/Fleetwood_Town_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Conor_McLaughlin
3,3MF,Shane Ferguson,(1991-07-12)12 July 1991 (aged 24),25,1,Millwall,https://en.wikipedia.org/wiki/Millwall_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Shane_Ferguson
4,2DF,Gareth McAuley,(1979-12-05)5 December 1979 (aged 36),61,7,West Bromwich Albion,https://en.wikipedia.org/wiki/West_Bromwich_Albion_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Gareth_McAuley
5,2DF,Jonny Evans,(1988-01-03)3 January 1988 (aged 28),49,1,West Bromwich Albion,https://en.wikipedia.org/wiki/West_Bromwich_Albion_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Jonny_Evans
6,2DF,Chris Baird,(1982-02-25)25 February 1982 (aged 34),78,0,Fulham,https://en.wikipedia.org/wiki/Fulham_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Chris_Baird
7,3MF,Niall McGinn,(1987-07-20)20 July 1987 (aged 28),41,2,Aberdeen,https://en.wikipedia.org/wiki/Aberdeen_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Niall_McGinn
8,3MF,Steven Davis (captain),(1985-01-01)1 January 1985 (aged 31),83,8,Southampton,https://en.wikipedia.org/wiki/Southampton_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Steven_Davis
9,4FW,Will Grigg,(1991-07-03)3 July 1991 (aged 24),8,1,Wigan Athletic,https://en.wikipedia.org/wiki/Wigan_Athletic_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Will_Grigg
10,4FW,Kyle Lafferty,(1987-09-16)16 September 1987 (aged 28),51,17,Birmingham City,https://en.wikipedia.org/wiki/Birmingham_City_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Kyle_Lafferty
11,4FW,Conor Washington,(1992-05-18)18 May 1992 (aged 24),4,2,Queens Park Rangers,https://en.wikipedia.org/wiki/Queens_Park_Rangers_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Conor_Washington
12,1GK,Roy Carroll,(1977-09-30)30 September 1977 (aged 38),43,0,Notts County,https://en.wikipedia.org/wiki/Notts_County_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Roy_Carroll
13,3MF,Corry Evans,(1990-07-30)30 July 1990 (aged 25),34,1,Blackburn Rovers,https://en.wikipedia.org/wiki/Blackburn_Rovers_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Corry_Evans
14,3MF,Stuart Dallas,(1991-04-19)19 April 1991 (aged 25),13,1,Leeds United,https://en.wikipedia.org/wiki/Leeds_United_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Stuart_Dallas
15,2DF,Luke McCullough,(1994-02-15)15 February 1994 (aged 22),5,0,Doncaster Rovers,https://en.wikipedia.org/wiki/Doncaster_Rovers_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Luke_McCullough
16,3MF,Oliver Norwood,(1991-04-12)12 April 1991 (aged 25),34,0,Reading,https://en.wikipedia.org/wiki/Reading_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Oliver_Norwood
17,2DF,Paddy McNair,(1995-04-27)27 April 1995 (aged 21),9,0,Manchester United,https://en.wikipedia.org/wiki/Manchester_United_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Paddy_McNair
18,2DF,Aaron Hughes,(1979-11-08)8 November 1979 (aged 36),100,1,Melbourne City,https://en.wikipedia.org/wiki/Melbourne_City_FC,Northern Ireland,https://en.wikipedia.org/wiki/Aaron_Hughes
19,3MF,Jamie Ward,(1986-05-12)12 May 1986 (aged 30),22,2,Nottingham Forest,https://en.wikipedia.org/wiki/Nottingham_Forest_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Jamie_Ward
20,2DF,Craig Cathcart,(1989-02-06)6 February 1989 (aged 27),28,2,Watford,https://en.wikipedia.org/wiki/Watford_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Craig_Cathcart
21,4FW,Josh Magennis,(1990-05-15)15 May 1990 (aged 26),19,1,Kilmarnock,https://en.wikipedia.org/wiki/Kilmarnock_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Josh_Magennis
22,2DF,Lee Hodson,(1991-10-02)2 October 1991 (aged 24),16,0,Milton Keynes Dons,https://en.wikipedia.org/wiki/Milton_Keynes_Dons_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Lee_Hodson
23,1GK,Alan Mannus,(1982-05-19)19 May 1982 (aged 34),8,0,St Johnstone,https://en.wikipedia.org/wiki/St_Johnstone_F.C.,Northern Ireland,https://en.wikipedia.org/wiki/Alan_Mannus
1,1GK,Iker Casillas (captain),(1981-05-20)20 May 1981 (aged 35),167,0,Porto,https://en.wikipedia.org/wiki/FC_Porto,Spain,https://en.wikipedia.org/wiki/Iker_Casillas
2,2DF,César Azpilicueta,(1989-08-28)28 August 1989 (aged 26),15,0,Chelsea,https://en.wikipedia.org/wiki/Chelsea_F.C.,Spain,https://en.wikipedia.org/wiki/C%C3%A9sar_Azpilicueta
3,2DF,Gerard Piqué,(1987-02-02)2 February 1987 (aged 29),77,4,Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,Spain,https://en.wikipedia.org/wiki/Gerard_Piqu%C3%A9
4,2DF,Marc Bartra,(1991-01-15)15 January 1991 (aged 25),10,0,Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,Spain,https://en.wikipedia.org/wiki/Marc_Bartra
5,3MF,Sergio Busquets,(1988-07-16)16 July 1988 (aged 27),84,2,Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,Spain,https://en.wikipedia.org/wiki/Sergio_Busquets
6,3MF,Andrés Iniesta,(1984-05-11)11 May 1984 (aged 32),109,13,Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,Spain,https://en.wikipedia.org/wiki/Andr%C3%A9s_Iniesta
7,4FW,Álvaro Morata,(1992-10-23)23 October 1992 (aged 23),9,3,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,Spain,https://en.wikipedia.org/wiki/%C3%81lvaro_Morata
8,3MF,Koke,(1992-01-08)8 January 1992 (aged 24),23,0,Atlético Madrid,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Madrid,Spain,"https://en.wikipedia.org/wiki/Koke_(footballer,_born_1992)"
9,4FW,Lucas Vázquez,(1991-07-01)1 July 1991 (aged 24),1,0,Real Madrid,https://en.wikipedia.org/wiki/Real_Madrid_C.F.,Spain,https://en.wikipedia.org/wiki/Lucas_V%C3%A1zquez
10,3MF,Cesc Fàbregas,(1987-05-04)4 May 1987 (aged 29),106,15,Chelsea,https://en.wikipedia.org/wiki/Chelsea_F.C.,Spain,https://en.wikipedia.org/wiki/Cesc_F%C3%A0bregas
11,4FW,Pedro,(1987-07-28)28 July 1987 (aged 28),58,17,Chelsea,https://en.wikipedia.org/wiki/Chelsea_F.C.,Spain,"https://en.wikipedia.org/wiki/Pedro_(footballer,_born_July_1987)"
12,2DF,Héctor Bellerín,(1995-03-19)19 March 1995 (aged 21),3,0,Arsenal,https://en.wikipedia.org/wiki/Arsenal_F.C.,Spain,https://en.wikipedia.org/wiki/H%C3%A9ctor_Beller%C3%ADn
13,1GK,David de Gea,(1990-11-07)7 November 1990 (aged 25),9,0,Manchester United,https://en.wikipedia.org/wiki/Manchester_United_F.C.,Spain,https://en.wikipedia.org/wiki/David_de_Gea
14,3MF,Thiago,(1991-04-11)11 April 1991 (aged 25),10,0,Bayern Munich,https://en.wikipedia.org/wiki/FC_Bayern_Munich,Spain,https://en.wikipedia.org/wiki/Thiago_Alc%C3%A2ntara
15,2DF,Sergio Ramos,(1986-03-30)30 March 1986 (aged 30),132,10,Real Madrid,https://en.wikipedia.org/wiki/Real_Madrid_C.F.,Spain,https://en.wikipedia.org/wiki/Sergio_Ramos
16,2DF,Juanfran,(1985-01-09)9 January 1985 (aged 31),18,0,Atlético Madrid,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Madrid,Spain,"https://en.wikipedia.org/wiki/Juanfran_(footballer,_born_1985)"
17,2DF,Mikel San José,(1989-05-30)30 May 1989 (aged 27),7,0,Athletic Bilbao,https://en.wikipedia.org/wiki/Athletic_Bilbao,Spain,https://en.wikipedia.org/wiki/Mikel_San_Jos%C3%A9
18,2DF,Jordi Alba,(1989-03-21)21 March 1989 (aged 27),43,6,Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,Spain,https://en.wikipedia.org/wiki/Jordi_Alba
19,3MF,Bruno Soriano,(1984-06-12)12 June 1984 (aged 31),8,0,Villarreal,https://en.wikipedia.org/wiki/Villarreal_CF,Spain,https://en.wikipedia.org/wiki/Bruno_Soriano
20,4FW,Aritz Aduriz,(1981-02-11)11 February 1981 (aged 35),6,1,Athletic Bilbao,https://en.wikipedia.org/wiki/Athletic_Bilbao,Spain,https://en.wikipedia.org/wiki/Aritz_Aduriz
21,3MF,David Silva,(1986-01-08)8 January 1986 (aged 30),99,24,Manchester City,https://en.wikipedia.org/wiki/Manchester_City_F.C.,Spain,https://en.wikipedia.org/wiki/David_Silva
22,4FW,Nolito,(1986-10-15)15 October 1986 (aged 29),9,4,Celta Vigo,https://en.wikipedia.org/wiki/Celta_de_Vigo,Spain,https://en.wikipedia.org/wiki/Nolito
23,1GK,Sergio Rico,(1993-09-01)1 September 1993 (aged 22),1,0,Sevilla,https://en.wikipedia.org/wiki/Sevilla_FC,Spain,https://en.wikipedia.org/wiki/Sergio_Rico
1,1GK,Petr Čech,(1982-05-20)20 May 1982 (aged 34),121,0,Arsenal,https://en.wikipedia.org/wiki/Arsenal_F.C.,Czech Republic,https://en.wikipedia.org/wiki/Petr_%C4%8Cech
2,2DF,Pavel Kadeřábek,(1992-04-25)25 April 1992 (aged 24),18,2,1899 Hoffenheim,https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim,Czech Republic,https://en.wikipedia.org/wiki/Pavel_Kade%C5%99%C3%A1bek
3,2DF,Michal Kadlec,(1984-12-13)13 December 1984 (aged 31),65,8,Fenerbahçe,https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_SK_(football),Czech Republic,https://en.wikipedia.org/wiki/Michal_Kadlec
4,2DF,Theodor Gebre Selassie,(1986-12-24)24 December 1986 (aged 29),36,1,Werder Bremen,https://en.wikipedia.org/wiki/SV_Werder_Bremen,Czech Republic,https://en.wikipedia.org/wiki/Theodor_Gebre_Selassie
5,2DF,Roman Hubník,(1984-06-06)6 June 1984 (aged 32),26,3,Viktoria Plzeň,https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88,Czech Republic,https://en.wikipedia.org/wiki/Roman_Hubn%C3%ADk
6,2DF,Tomáš Sivok,(1983-09-15)15 September 1983 (aged 32),55,5,Bursaspor,https://en.wikipedia.org/wiki/Bursaspor,Czech Republic,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Sivok
7,4FW,Tomáš Necid,(1989-08-13)13 August 1989 (aged 26),39,11,Bursaspor,https://en.wikipedia.org/wiki/Bursaspor,Czech Republic,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Necid
8,2DF,David Limberský,(1983-10-06)6 October 1983 (aged 32),38,1,Viktoria Plzeň,https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88,Czech Republic,https://en.wikipedia.org/wiki/David_Limbersk%C3%BD
9,3MF,Bořek Dočkal,(1988-09-30)30 September 1988 (aged 27),24,6,Sparta Prague,https://en.wikipedia.org/wiki/AC_Sparta_Prague,Czech Republic,https://en.wikipedia.org/wiki/Bo%C5%99ek_Do%C4%8Dkal
10,3MF,Tomáš Rosický (captain),(1980-10-04)4 October 1980 (aged 35),103,23,Arsenal,https://en.wikipedia.org/wiki/Arsenal_F.C.,Czech Republic,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Rosick%C3%BD
11,3MF,Daniel Pudil,(1985-09-27)27 September 1985 (aged 30),32,2,Sheffield Wednesday,https://en.wikipedia.org/wiki/Sheffield_Wednesday_F.C.,Czech Republic,https://en.wikipedia.org/wiki/Daniel_Pudil
12,4FW,Milan Škoda,(1986-01-16)16 January 1986 (aged 30),9,3,Slavia Prague,https://en.wikipedia.org/wiki/SK_Slavia_Prague,Czech Republic,https://en.wikipedia.org/wiki/Milan_%C5%A0koda
13,3MF,Jaroslav Plašil,(1982-01-05)5 January 1982 (aged 34),100,7,Bordeaux,https://en.wikipedia.org/wiki/FC_Girondins_de_Bordeaux,Czech Republic,https://en.wikipedia.org/wiki/Jaroslav_Pla%C5%A1il
14,3MF,Daniel Kolář,(1985-10-27)27 October 1985 (aged 30),28,2,Viktoria Plzeň,https://en.wikipedia.org/wiki/FC_Viktoria_Plze%C5%88,Czech Republic,https://en.wikipedia.org/wiki/Daniel_Kol%C3%A1%C5%99
15,3MF,David Pavelka,(1991-05-18)18 May 1991 (aged 25),8,0,Kasımpaşa,https://en.wikipedia.org/wiki/Kas%C4%B1mpa%C5%9Fa_Spor_Kul%C3%BCb%C3%BC,Czech Republic,https://en.wikipedia.org/wiki/David_Pavelka
16,1GK,Tomáš Vaclík,(1989-03-29)29 March 1989 (aged 27),6,0,Basel,https://en.wikipedia.org/wiki/FC_Basel,Czech Republic,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Vacl%C3%ADk
17,2DF,Marek Suchý,(1988-03-29)29 March 1988 (aged 28),27,1,Basel,https://en.wikipedia.org/wiki/FC_Basel,Czech Republic,https://en.wikipedia.org/wiki/Marek_Such%C3%BD
18,3MF,Josef Šural,(1990-05-30)30 May 1990 (aged 26),11,1,Sparta Prague,https://en.wikipedia.org/wiki/AC_Sparta_Prague,Czech Republic,https://en.wikipedia.org/wiki/Josef_%C5%A0ural
19,3MF,Ladislav Krejčí,(1992-07-05)5 July 1992 (aged 23),23,4,Sparta Prague,https://en.wikipedia.org/wiki/AC_Sparta_Prague,Czech Republic,https://en.wikipedia.org/wiki/Ladislav_Krej%C4%8D%C3%AD
20,3MF,Jiří Skalák,(1992-03-12)12 March 1992 (aged 24),10,0,Brighton & Hove Albion,https://en.wikipedia.org/wiki/Brighton_%26_Hove_Albion_F.C.,Czech Republic,https://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Skal%C3%A1k
21,4FW,David Lafata,(1981-09-18)18 September 1981 (aged 34),39,9,Sparta Prague,https://en.wikipedia.org/wiki/AC_Sparta_Prague,Czech Republic,https://en.wikipedia.org/wiki/David_Lafata
22,3MF,Vladimír Darida,(1990-08-08)8 August 1990 (aged 25),36,1,Hertha BSC,https://en.wikipedia.org/wiki/Hertha_BSC,Czech Republic,https://en.wikipedia.org/wiki/Vladim%C3%ADr_Darida
23,1GK,Tomáš Koubek,(1992-08-26)26 August 1992 (aged 23),2,0,Slovan Liberec,https://en.wikipedia.org/wiki/FC_Slovan_Liberec,Czech Republic,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Koubek
1,1GK,Volkan Babacan,(1988-08-12)12 August 1988 (aged 27),17,0,İstanbul Başakşehir,https://en.wikipedia.org/wiki/%C4%B0stanbul_Ba%C5%9Fak%C5%9Fehir_F.K.,Turkey,https://en.wikipedia.org/wiki/Volkan_Babacan
2,2DF,Semih Kaya,(1991-02-24)24 February 1991 (aged 25),23,0,Galatasaray,https://en.wikipedia.org/wiki/Galatasaray_S.K._(football),Turkey,https://en.wikipedia.org/wiki/Semih_Kaya
3,2DF,Hakan Balta,(1983-03-23)23 March 1983 (aged 33),46,2,Galatasaray,https://en.wikipedia.org/wiki/Galatasaray_S.K._(football),Turkey,https://en.wikipedia.org/wiki/Hakan_Balta
4,2DF,Ahmet Yılmaz Çalık,(1994-06-22)22 June 1994 (aged 21),4,0,Gençlerbirliği,https://en.wikipedia.org/wiki/Gen%C3%A7lerbirli%C4%9Fi_S.K.,Turkey,https://en.wikipedia.org/wiki/Ahmet_Y%C4%B1lmaz_%C3%87al%C4%B1k
5,3MF,Nuri Şahin,(1988-09-05)5 September 1988 (aged 27),49,2,Borussia Dortmund,https://en.wikipedia.org/wiki/Borussia_Dortmund,Turkey,https://en.wikipedia.org/wiki/Nuri_%C5%9Eahin
6,3MF,Hakan Çalhanoğlu,(1994-02-08)8 February 1994 (aged 22),19,6,Bayer Leverkusen,https://en.wikipedia.org/wiki/Bayer_04_Leverkusen,Turkey,https://en.wikipedia.org/wiki/Hakan_%C3%87alhano%C4%9Flu
7,2DF,Gökhan Gönül,(1985-01-04)4 January 1985 (aged 31),57,1,Fenerbahçe,https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_S.K._(football),Turkey,https://en.wikipedia.org/wiki/G%C3%B6khan_G%C3%B6n%C3%BCl
8,3MF,Selçuk İnan,(1985-02-10)10 February 1985 (aged 31),52,8,Galatasaray,https://en.wikipedia.org/wiki/Galatasaray_S.K._(football),Turkey,https://en.wikipedia.org/wiki/Sel%C3%A7uk_%C4%B0nan
9,4FW,Cenk Tosun,(1991-06-07)7 June 1991 (aged 25),9,3,Beşiktaş,https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K.,Turkey,https://en.wikipedia.org/wiki/Cenk_Tosun
10,3MF,Arda Turan (captain),(1987-01-30)30 January 1987 (aged 29),91,17,Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,Turkey,https://en.wikipedia.org/wiki/Arda_Turan
11,3MF,Olcay Şahan,(1987-05-26)26 May 1987 (aged 29),24,2,Beşiktaş,https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K.,Turkey,https://en.wikipedia.org/wiki/Olcay_%C5%9Eahan
12,1GK,Onur Kıvrak,(1988-01-01)1 January 1988 (aged 28),12,0,Trabzonspor,https://en.wikipedia.org/wiki/Trabzonspor,Turkey,https://en.wikipedia.org/wiki/Onur_K%C4%B1vrak
13,2DF,İsmail Köybaşı,(1989-07-10)10 July 1989 (aged 26),19,0,Beşiktaş,https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K.,Turkey,https://en.wikipedia.org/wiki/%C4%B0smail_K%C3%B6yba%C5%9F%C4%B1
14,3MF,Oğuzhan Özyakup,(1992-09-23)23 September 1992 (aged 23),20,1,Beşiktaş,https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K.,Turkey,https://en.wikipedia.org/wiki/O%C4%9Fuzhan_%C3%96zyakup
15,3MF,Mehmet Topal,(1986-03-03)3 March 1986 (aged 30),59,1,Fenerbahçe,https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_S.K._(football),Turkey,https://en.wikipedia.org/wiki/Mehmet_Topal
16,3MF,Ozan Tufan,(1995-03-23)23 March 1995 (aged 21),24,1,Fenerbahçe,https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_S.K._(football),Turkey,https://en.wikipedia.org/wiki/Ozan_Tufan
17,4FW,Burak Yılmaz,(1985-07-15)15 July 1985 (aged 30),44,20,Beijing Guoan,https://en.wikipedia.org/wiki/Beijing_Guoan,Turkey,https://en.wikipedia.org/wiki/Burak_Y%C4%B1lmaz
18,3MF,Caner Erkin,(1988-10-04)4 October 1988 (aged 27),47,2,Fenerbahçe,https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_S.K._(football),Turkey,https://en.wikipedia.org/wiki/Caner_Erkin
19,3MF,Yunus Mallı,(1992-02-24)24 February 1992 (aged 24),6,0,1. FSV Mainz 05,https://en.wikipedia.org/wiki/1._FSV_Mainz_05,Turkey,https://en.wikipedia.org/wiki/Yunus_Mall%C4%B1
20,3MF,Volkan Şen,(1987-07-07)7 July 1987 (aged 28),17,0,Fenerbahçe,https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_S.K._(football),Turkey,https://en.wikipedia.org/wiki/Volkan_%C5%9Een
21,4FW,Emre Mor,(1997-07-24)24 July 1997 (aged 18),2,0,FC Nordsjælland,https://en.wikipedia.org/wiki/FC_Nordsj%C3%A6lland,Turkey,https://en.wikipedia.org/wiki/Emre_Mor
22,2DF,Şener Özbayraklı,(1990-01-23)23 January 1990 (aged 26),8,0,Fenerbahçe,https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_S.K._(football),Turkey,https://en.wikipedia.org/wiki/%C5%9Eener_%C3%96zbayrakl%C4%B1
23,1GK,Harun Tekin,(1989-06-17)17 June 1989 (aged 26),0,0,Bursaspor,https://en.wikipedia.org/wiki/Bursaspor,Turkey,https://en.wikipedia.org/wiki/Harun_Tekin_(footballer)
1,1GK,Ivan Vargić,(1987-03-15)15 March 1987 (aged 29),2,0,Rijeka,https://en.wikipedia.org/wiki/HNK_Rijeka,Croatia,https://en.wikipedia.org/wiki/Ivan_Vargi%C4%87
2,2DF,Šime Vrsaljko,(1992-01-10)10 January 1992 (aged 24),19,0,Sassuolo,https://en.wikipedia.org/wiki/U.S._Sassuolo_Calcio,Croatia,https://en.wikipedia.org/wiki/%C5%A0ime_Vrsaljko
3,2DF,Ivan Strinić,(1987-07-17)17 July 1987 (aged 28),35,0,Napoli,https://en.wikipedia.org/wiki/S.S.C._Napoli,Croatia,https://en.wikipedia.org/wiki/Ivan_Strini%C4%87
4,3MF,Ivan Perišić,(1989-02-02)2 February 1989 (aged 27),47,13,Internazionale,https://en.wikipedia.org/wiki/Inter_Milan,Croatia,https://en.wikipedia.org/wiki/Ivan_Peri%C5%A1i%C4%87
5,2DF,Vedran Ćorluka,(1986-02-05)5 February 1986 (aged 30),88,4,Lokomotiv Moscow,https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow,Croatia,https://en.wikipedia.org/wiki/Vedran_%C4%86orluka
6,2DF,Tin Jedvaj,(1995-11-28)28 November 1995 (aged 20),3,0,Bayer Leverkusen,https://en.wikipedia.org/wiki/Bayer_04_Leverkusen,Croatia,https://en.wikipedia.org/wiki/Tin_Jedvaj
7,3MF,Ivan Rakitić,(1988-03-10)10 March 1988 (aged 28),76,11,Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,Croatia,https://en.wikipedia.org/wiki/Ivan_Rakiti%C4%87
8,3MF,Mateo Kovačić,(1994-05-06)6 May 1994 (aged 22),27,1,Real Madrid,https://en.wikipedia.org/wiki/Real_Madrid_C.F.,Croatia,https://en.wikipedia.org/wiki/Mateo_Kova%C4%8Di%C4%87
9,4FW,Andrej Kramarić,(1991-06-19)19 June 1991 (aged 24),11,4,1899 Hoffenheim,https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim,Croatia,https://en.wikipedia.org/wiki/Andrej_Kramari%C4%87
10,3MF,Luka Modrić,(1985-09-09)9 September 1985 (aged 30),90,10,Real Madrid,https://en.wikipedia.org/wiki/Real_Madrid_C.F.,Croatia,https://en.wikipedia.org/wiki/Luka_Modri%C4%87
11,2DF,Darijo Srna (captain),(1982-05-01)1 May 1982 (aged 34),130,22,Shakhtar Donetsk,https://en.wikipedia.org/wiki/FC_Shakhtar_Donetsk,Croatia,https://en.wikipedia.org/wiki/Darijo_Srna
12,1GK,Lovre Kalinić,(1990-04-03)3 April 1990 (aged 26),4,0,Hajduk Split,https://en.wikipedia.org/wiki/HNK_Hajduk_Split,Croatia,https://en.wikipedia.org/wiki/Lovre_Kalini%C4%87
13,2DF,Gordon Schildenfeld,(1985-03-18)18 March 1985 (aged 31),27,1,Dinamo Zagreb,https://en.wikipedia.org/wiki/GNK_Dinamo_Zagreb,Croatia,https://en.wikipedia.org/wiki/Gordon_Schildenfeld
14,3MF,Marcelo Brozović,(1992-11-16)16 November 1992 (aged 23),17,4,Internazionale,https://en.wikipedia.org/wiki/Inter_Milan,Croatia,https://en.wikipedia.org/wiki/Marcelo_Brozovi%C4%87
15,3MF,Marko Rog,(1995-07-19)19 July 1995 (aged 20),3,0,Dinamo Zagreb,https://en.wikipedia.org/wiki/GNK_Dinamo_Zagreb,Croatia,https://en.wikipedia.org/wiki/Marko_Rog
16,4FW,Nikola Kalinić,(1988-01-05)5 January 1988 (aged 28),29,11,Fiorentina,https://en.wikipedia.org/wiki/ACF_Fiorentina,Croatia,https://en.wikipedia.org/wiki/Nikola_Kalini%C4%87
17,4FW,Mario Mandžukić,(1986-05-21)21 May 1986 (aged 30),66,24,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,Croatia,https://en.wikipedia.org/wiki/Mario_Mand%C5%BEuki%C4%87
18,3MF,Ante Ćorić,(1997-04-14)14 April 1997 (aged 19),2,0,Dinamo Zagreb,https://en.wikipedia.org/wiki/GNK_Dinamo_Zagreb,Croatia,https://en.wikipedia.org/wiki/Ante_%C4%86ori%C4%87
19,3MF,Milan Badelj,(1989-02-25)25 February 1989 (aged 27),20,1,Fiorentina,https://en.wikipedia.org/wiki/ACF_Fiorentina,Croatia,https://en.wikipedia.org/wiki/Milan_Badelj
20,4FW,Marko Pjaca,(1995-05-06)6 May 1995 (aged 21),8,1,Dinamo Zagreb,https://en.wikipedia.org/wiki/GNK_Dinamo_Zagreb,Croatia,https://en.wikipedia.org/wiki/Marko_Pjaca
21,2DF,Domagoj Vida,(1989-04-29)29 April 1989 (aged 27),38,1,Dynamo Kyiv,https://en.wikipedia.org/wiki/FC_Dynamo_Kyiv,Croatia,https://en.wikipedia.org/wiki/Domagoj_Vida
22,4FW,Duje Čop,(1990-02-01)1 February 1990 (aged 26),4,0,Málaga,https://en.wikipedia.org/wiki/M%C3%A1laga_CF,Croatia,https://en.wikipedia.org/wiki/Duje_%C4%8Cop
23,1GK,Danijel Subašić,(1984-10-27)27 October 1984 (aged 31),21,0,Monaco,https://en.wikipedia.org/wiki/AS_Monaco_FC,Croatia,https://en.wikipedia.org/wiki/Danijel_Suba%C5%A1i%C4%87
1,1GK,Thibaut Courtois,(1992-05-11)11 May 1992 (aged 24),37,0,Chelsea,https://en.wikipedia.org/wiki/Chelsea_F.C.,Belgium,https://en.wikipedia.org/wiki/Thibaut_Courtois
